algorithm,query,query_mask,query_boundaries,query_area,query_wns,query_reward,incumbent_mask,incumbent_reward,improvement_over_seed,frontier_size,frontier_changed,query_on_frontier
reinforce_v1,2,0x0480000010,3,1025.43,7.15265,70.50107,0x0000000000,73.481864,0.0,3,False,False
reinforce_v1,3,0x0000000020,1,1136.09,7.22354,71.09931,0x0000000000,73.481864,0.0,3,False,False
reinforce_v1,4,0x0000080001,2,1072.78,7.13478,70.27502,0x0000000000,73.481864,0.0,3,False,False
reinforce_v1,5,0x0040040800,3,1005.21,7.29464,71.94119,0x0000000000,73.481864,0.0,3,False,False
reinforce_v1,6,0x0080000022,3,1042.99,7.17143,70.67131,0x0000000000,73.481864,0.0,3,False,False
reinforce_v1,7,0x2100020800,4,933.128,7.20637,71.130572,0x0000000000,73.481864,0.0,3,False,False
reinforce_v1,8,0x4080803010,6,929.67,7.20848,71.15513,0x0000000000,73.481864,0.0,3,False,False
reinforce_v1,9,0x0881000000,3,892.962,7.37609,72.867938,0x0000000000,73.481864,0.0,4,True,True
reinforce_v1,10,0x008808c000,5,907.592,7.24056,71.498008,0x0000000000,73.481864,0.0,4,False,False
reinforce_v1,11,0x0100000080,2,1081.29,7.19052,70.82391,0x0000000000,73.481864,0.0,4,False,False
reinforce_v1,12,0x0000840800,3,951.216,7.34031,72.451884,0x0000000000,73.481864,0.0,4,False,False
reinforce_v1,13,0x0000006000,2,1041.12,7.24539,71.41278,0x0000000000,73.481864,0.0,4,False,False
reinforce_v1,14,0x04a4000000,4,891.366,7.3511,72.619634,0x0000000000,73.481864,0.0,5,True,True
reinforce_v1,15,0x0000000800,1,1058.15,7.23523,71.29415,0x0000000000,73.481864,0.0,5,False,False
reinforce_v1,16,0x0080000020,2,1086.61,7.15899,70.50329,0x0000000000,73.481864,0.0,5,False,False
reinforce_v2,1,0x0000000004,1,1161.09,7.17337,70.57261,0x0000000000,73.481864,0.0,3,False,False
reinforce_v2,2,0x0000000001,1,1214.29,7.10712,69.85691,0x0000000000,73.481864,0.0,3,False,False
reinforce_v2,3,0x0000010000,1,977.816,7.2639,71.661184,0x0000000000,73.481864,0.0,3,False,False
reinforce_v2,4,0x0200000000,1,878.066,7.3794,72.915934,0x0000000000,73.481864,0.0,4,True,True
reinforce_v2,5,0x0002000000,1,911.316,7.34806,72.569284,0x0000000000,73.481864,0.0,4,False,False
reinforce_v2,6,0x0000000800,1,1058.15,7.23523,71.29415,0x0000000000,73.481864,0.0,4,False,False
