algorithm,budget,query_mask,query_boundaries,query_area,query_wns,query_reward,incumbent_mask,incumbent_reward,improvement_over_seed,frontier_size,query_on_frontier,frontier_changed
reinforce,5,0x40840800,4,765.814,7.38945,73.128686,0x00000000,74.15097,0.0,4,False,False
reinforce,6,0x00800022,3,758.366,7.16659,70.907534,0x00000000,74.15097,0.0,4,False,False
reinforce,7,0x00820800,3,766.878,7.39158,73.148922,0x00000000,74.15097,0.0,4,False,False
reinforce,8,0x00803010,4,760.494,7.30453,72.284806,0x00000000,74.15097,0.0,4,False,False
reinforce,9,0x01820000,3,703.57,7.34276,72.72403,0x00000000,74.15097,0.0,3,True,True
reinforce,10,0x0800c000,3,691.334,7.33394,72.648066,0x00000000,74.15097,0.0,4,True,True
reinforce,11,0x00800080,2,772.996,7.21372,71.364204,0x00000000,74.15097,0.0,4,False,False
reinforce,12,0x00840800,3,694.526,7.3473,72.778474,0x00000000,74.15097,0.0,4,True,True
reinforce,13,0x00806000,3,755.44,7.28244,72.06896,0x00000000,74.15097,0.0,4,False,False
reinforce,14,0x24000000,2,725.382,7.44732,73.747818,0x00000000,74.15097,0.0,4,True,True
reinforce,15,0x00000800,1,760.228,7.30218,72.261572,0x00000000,74.15097,0.0,4,False,False
reinforce,16,0x00808000,2,733.894,7.40231,73.289206,0x00000000,74.15097,0.0,4,False,False
