benchmark,mask,boundaries,area,wns,reward,discovered_by
popcount32,0x10808380,6,264.67,7.02172,69.95253,v1_learn
popcount32,0x0000b000,3,264.67,7.02172,69.95253,v2_frozen
popcount32,0x02a80989,9,264.67,7.02172,69.95253,v1_learn
popcount32,0x090a098a,9,264.67,7.02172,69.95253,v1_learn
popcount32,0x7fffff89,26,264.67,7.02172,69.95253,v2_frozen
popcount32,0x40a189a8,10,264.67,7.02172,69.95253,v1_learn
popcount32,0x7fffffa9,27,264.67,7.02172,69.95253,v2_learn
popcount32,0x0084a5be,12,264.67,7.02172,69.95253,v1_learn
popcount32,0x37f7fbbf,26,264.67,7.02172,69.95253,count_matched_uniform
popcount32,0x40e86880,9,264.67,7.02172,69.95253,v1_learn
popcount32,0x7fff0000,15,264.67,7.02172,69.95253,v2_learn
popcount32,0x208401c8,7,264.67,7.02172,69.95253,v1_learn
popcount32,0x7fffffff,31,264.67,7.02172,69.95253,shared_seed
priority32,0x00808080,3,188.594,7.53816,75.193006,shared_seed
priority32,0x7fffb084,20,190.19,7.54774,75.28721,v2_learn
priority32,0x20891a88,9,191.52,7.65727,76.38118,v1_learn
priority32,0x61f968c9,16,193.648,7.66985,76.504852,v1_learn
priority32,0x61e2523b,15,195.776,7.6717,76.521224,count_matched_uniform
priority32,0x420aa2b2,11,197.904,7.68299,76.631996,v1_learn
priority32,0x2dd58a34,15,198.702,7.68431,76.644398,v1_learn
priority32,0x7fffffff,31,205.352,7.6883,76.677648,shared_seed
priority32,0x7ffc8080,15,215.726,7.69509,76.735174,v2_learn
