seed,method,query,baseline,scale,expected_K
31003,v3_conditioned,11,70.83577533874283,0.6722755625557717,20.077901661028026
31003,v3_conditioned,12,70.93790587099427,0.6399509822960512,20.021870120422044
31003,v3_conditioned,13,71.01921029679542,0.5932652116379855,19.975827788085248
31003,v3_conditioned,14,71.05542543743634,0.5246121693103885,19.953647309007728
31003,v3_conditioned,15,71.06952314994908,0.4696897354483108,19.943991214949282
31003,v3_conditioned,16,70.95153411995926,0.4937408183484634,19.259952310777187
31003,v2_frozen,1,70.3477165,0.6457996814343835,21.662391505451552
31003,v2_frozen,2,70.3477165,0.6457996814343835,21.662391505451552
31003,v2_frozen,3,70.3477165,0.6457996814343835,21.662391505451552
31003,v2_frozen,4,70.3477165,0.6457996814343835,21.662391505451552
31003,v2_frozen,5,70.3477165,0.6457996814343835,21.662391505451552
31003,v2_frozen,6,70.3477165,0.6457996814343835,21.662391505451552
31003,v2_frozen,7,70.3477165,0.6457996814343835,21.662391505451552
31003,v2_frozen,8,70.3477165,0.6457996814343835,21.662391505451552
31003,v2_frozen,9,70.3477165,0.6457996814343835,21.662391505451552
31003,v2_frozen,10,70.3477165,0.6457996814343835,21.662391505451552
31003,v2_frozen,11,70.3477165,0.6457996814343835,21.662391505451552
31003,v2_frozen,12,70.3477165,0.6457996814343835,21.662391505451552
31003,v2_frozen,13,70.3477165,0.6457996814343835,21.662391505451552
31003,v2_frozen,14,70.3477165,0.6457996814343835,21.662391505451552
31003,v2_frozen,15,70.3477165,0.6457996814343835,21.662391505451552
31003,v2_frozen,16,70.3477165,0.6457996814343835,21.662391505451552
